HYPERPARAMS
version: 0	h1_size: 100	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-113.5	500	0.0302	0.0529	-0.0227	False
1	-47.0	500	0.0314	0.0409	-0.0094	False
2	15.8	500	0.0585	0.0553	0.0032	False
3	27.8	500	0.0863	0.0807	0.0056	False
4	40.4	500	0.0551	0.0470	0.0081	False
5	21.9	500	0.0986	0.0942	0.0044	False
6	63.3	500	0.0373	0.0247	0.0127	False
7	86.9	500	0.0867	0.0693	0.0174	False
8	-38.2	500	0.0285	0.0361	-0.0076	False
9	29.0	500	0.0965	0.0907	0.0058	False
10	49.4	500	0.0447	0.0348	0.0099	False
11	-81.1	500	0.0850	0.1012	-0.0162	False
12	-70.3	500	0.0969	0.1110	-0.0141	False
13	167.1	500	0.0494	0.0160	0.0334	False
14	65.8	500	0.1009	0.0877	0.0132	False
15	-44.8	500	0.0624	0.0713	-0.0090	False
16	73.3	500	0.0680	0.0533	0.0147	False
17	136.2	500	0.1086	0.0814	0.0272	False
18	52.7	500	0.0223	0.0118	0.0105	False
19	-25.2	500	0.0396	0.0446	-0.0050	False
20	28.3	500	0.0772	0.0715	0.0057	False
21	-49.6	500	0.0331	0.0430	-0.0099	False
22	-73.4	500	0.0154	0.0301	-0.0147	False
23	166.6	500	0.0955	0.0622	0.0333	False
24	58.4	500	0.0695	0.0578	0.0117	False
25	137.8	500	0.0737	0.0461	0.0276	False
26	45.0	500	0.0181	0.0091	0.0090	False
27	-136.3	500	0.0174	0.0446	-0.0273	False
28	191.3	500	0.0981	0.0598	0.0383	False
29	122.4	500	0.0447	0.0202	0.0245	False
30	97.0	500	0.0382	0.0187	0.0194	False
31	15.7	500	0.0266	0.0234	0.0031	False
32	126.4	500	0.0779	0.0526	0.0253	False
33	54.8	500	0.0344	0.0234	0.0110	False
34	246.3	500	0.0920	0.0428	0.0493	False
35	-41.8	500	0.0378	0.0462	-0.0084	False
36	28.3	500	0.0593	0.0536	0.0057	False
37	85.5	500	0.0908	0.0737	0.0171	False
38	212.8	500	0.0918	0.0492	0.0426	False
39	-142.5	500	0.0064	0.0349	-0.0285	False
40	38.4	500	0.0463	0.0386	0.0077	False
41	75.0	500	0.0806	0.0656	0.0150	False
42	226.5	500	0.0906	0.0453	0.0453	False
43	140.7	500	0.1129	0.0847	0.0281	False
44	323.9	500	0.0997	0.0350	0.0648	False
45	344.4	500	0.0868	0.0179	0.0689	False
46	115.5	500	0.0480	0.0249	0.0231	False
47	233.2	500	0.0719	0.0253	0.0466	False
48	125.0	500	0.0944	0.0693	0.0250	False
49	193.5	500	0.0752	0.0365	0.0387	False
50	-14.8	500	0.0270	0.0300	-0.0030	False
51	409.1	500	0.1056	0.0238	0.0818	False
52	232.2	500	0.0725	0.0260	0.0464	False
53	257.4	500	0.0930	0.0415	0.0515	False
54	201.1	500	0.0635	0.0233	0.0402	False
55	226.6	500	0.1068	0.0615	0.0453	False
56	298.6	500	0.0955	0.0357	0.0597	False
57	324.7	500	0.1119	0.0470	0.0649	False
58	311.6	500	0.0969	0.0345	0.0623	False
59	-2.5	500	0.0440	0.0445	-0.0005	False
60	263.0	500	0.1066	0.0540	0.0526	False
61	317.6	500	0.0897	0.0261	0.0635	False
62	308.9	500	0.0771	0.0153	0.0618	False
63	169.5	500	0.0640	0.0301	0.0339	False
64	270.2	500	0.0887	0.0347	0.0540	False
65	335.1	500	0.0893	0.0223	0.0670	False
