HYPERPARAMS
version: 2	h1_size: 100	h2_size: 100	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	63.2	500	0.0680	0.0554	0.0126	False
1	-65.2	500	0.0990	0.1120	-0.0130	False
2	-62.7	500	0.0952	0.1078	-0.0125	False
3	-55.0	500	0.0753	0.0863	-0.0110	False
4	80.5	500	0.0771	0.0610	0.0161	False
5	16.7	500	0.0738	0.0705	0.0033	False
6	123.3	500	0.0798	0.0551	0.0247	False
7	8.9	500	0.0380	0.0363	0.0018	False
8	47.1	500	0.0151	0.0057	0.0094	False
9	96.2	500	0.0272	0.0079	0.0192	False
10	-69.1	500	0.0387	0.0525	-0.0138	False
11	-59.6	500	0.0200	0.0319	-0.0119	False
12	-65.7	500	0.0314	0.0446	-0.0131	False
13	-47.2	500	0.0444	0.0538	-0.0094	False
14	16.9	500	0.0488	0.0454	0.0034	False
15	-89.8	500	0.0907	0.1087	-0.0180	False
16	147.6	500	0.0890	0.0595	0.0295	False
17	-25.8	500	0.0711	0.0763	-0.0052	False
18	56.4	500	0.0914	0.0801	0.0113	False
19	38.4	500	0.0989	0.0913	0.0077	False
20	75.5	500	0.0641	0.0490	0.0151	False
21	82.1	500	0.1030	0.0866	0.0164	False
22	-26.0	500	0.0270	0.0322	-0.0052	False
23	77.7	500	0.0487	0.0331	0.0155	False
24	156.1	500	0.0864	0.0552	0.0312	False
25	-119.2	500	0.0329	0.0568	-0.0238	False
26	70.5	500	0.0641	0.0500	0.0141	False
27	51.4	500	0.1049	0.0946	0.0103	False
28	112.5	500	0.0907	0.0682	0.0225	False
29	71.2	500	0.0768	0.0626	0.0142	False
30	-23.1	500	0.0519	0.0565	-0.0046	False
31	70.2	500	0.0978	0.0838	0.0140	False
32	68.7	500	0.0906	0.0768	0.0137	False
33	81.8	500	0.0804	0.0640	0.0164	False
34	70.2	500	0.0510	0.0370	0.0140	False
35	128.6	500	0.1032	0.0775	0.0257	False
36	38.1	500	0.0495	0.0419	0.0076	False
37	73.0	500	0.1053	0.0907	0.0146	False
38	73.9	500	0.0878	0.0731	0.0148	False
39	173.1	500	0.0937	0.0591	0.0346	False
40	50.8	500	0.0638	0.0536	0.0102	False
41	-7.5	500	0.0193	0.0208	-0.0015	False
42	83.5	500	0.0693	0.0526	0.0167	False
43	14.9	500	0.0654	0.0624	0.0030	False
44	16.7	500	0.0620	0.0587	0.0033	False
45	-4.5	500	0.0476	0.0485	-0.0009	False
46	162.1	500	0.0983	0.0659	0.0324	False
47	139.0	500	0.0604	0.0326	0.0278	False
48	164.9	500	0.0583	0.0253	0.0330	False
49	-21.3	500	0.0555	0.0597	-0.0043	False
50	27.2	500	0.0438	0.0383	0.0054	False
51	-15.1	500	0.0230	0.0261	-0.0030	False
52	293.8	500	0.0962	0.0374	0.0588	False
53	106.6	500	0.0801	0.0588	0.0213	False
54	63.6	500	0.0766	0.0639	0.0127	False
55	68.8	500	0.0920	0.0782	0.0138	False
56	198.7	500	0.0685	0.0287	0.0397	False
57	48.0	500	0.0326	0.0230	0.0096	False
58	58.1	500	0.0773	0.0657	0.0116	False
59	230.8	500	0.0808	0.0347	0.0462	False
60	14.8	500	0.0486	0.0456	0.0030	False
61	-64.0	500	0.0363	0.0491	-0.0128	False
62	118.0	500	0.0522	0.0286	0.0236	False
63	72.1	500	0.0680	0.0536	0.0144	False
64	236.8	500	0.0790	0.0316	0.0474	False
65	192.8	500	0.0644	0.0258	0.0386	False
66	295.2	500	0.0949	0.0358	0.0590	False
67	48.0	500	0.1117	0.1021	0.0096	False
68	54.9	500	0.0824	0.0714	0.0110	False
69	13.4	500	0.0293	0.0266	0.0027	False
70	305.2	500	0.1010	0.0399	0.0610	False
71	196.7	500	0.1114	0.0720	0.0393	False
72	84.9	500	0.1061	0.0891	0.0170	False
73	416.4	500	0.0962	0.0129	0.0833	False
74	115.4	500	0.0727	0.0496	0.0231	False
75	81.5	500	0.1061	0.0898	0.0163	False
76	59.5	500	0.0803	0.0684	0.0119	False
77	113.9	500	0.0563	0.0335	0.0228	False
78	90.5	500	0.0388	0.0207	0.0181	False
79	78.2	500	0.0976	0.0820	0.0156	False
80	65.5	500	0.0913	0.0782	0.0131	False
81	24.1	500	0.0495	0.0447	0.0048	False
82	-16.3	500	0.0473	0.0505	-0.0033	False
83	44.6	500	0.0784	0.0695	0.0089	False
84	66.9	500	0.0922	0.0789	0.0134	False
85	34.4	500	0.0504	0.0435	0.0069	False
86	54.3	500	0.0292	0.0184	0.0109	False
87	107.4	500	0.0379	0.0164	0.0215	False
88	-63.0	500	0.0368	0.0494	-0.0126	False
89	278.3	500	0.0685	0.0128	0.0557	False
90	-24.5	500	0.0310	0.0359	-0.0049	False
91	112.2	500	0.0450	0.0226	0.0224	False
92	513.9	187	0.0560	0.0029	0.0531	True
93	213.5	500	0.0759	0.0332	0.0427	False
94	146.6	500	0.1118	0.0825	0.0293	False
95	74.5	500	0.0780	0.0631	0.0149	False
96	49.0	500	0.0639	0.0541	0.0098	False
97	351.7	500	0.1025	0.0321	0.0703	False
98	132.4	500	0.0793	0.0528	0.0265	False
99	197.4	500	0.1138	0.0744	0.0395	False
100	52.6	500	0.0611	0.0505	0.0105	False
101	54.0	500	0.0843	0.0735	0.0108	False
102	278.6	500	0.0855	0.0298	0.0557	False
103	-50.1	500	0.0393	0.0493	-0.0100	False
104	43.6	500	0.0745	0.0658	0.0087	False
105	108.5	500	0.1064	0.0847	0.0217	False
106	74.8	500	0.0984	0.0834	0.0150	False
107	160.9	500	0.1125	0.0803	0.0322	False
108	210.1	500	0.0941	0.0521	0.0420	False
109	123.8	500	0.1122	0.0874	0.0248	False
110	414.7	500	0.0926	0.0096	0.0829	False
111	65.0	500	0.0801	0.0671	0.0130	False
112	309.6	500	0.1020	0.0401	0.0619	False
113	70.1	500	0.0956	0.0815	0.0140	False
114	136.3	500	0.0604	0.0332	0.0273	False
115	90.7	500	0.1153	0.0971	0.0181	False
116	-58.6	500	0.0275	0.0392	-0.0117	False
117	-85.4	500	0.0304	0.0475	-0.0171	False
118	208.8	500	0.1017	0.0599	0.0418	False
119	60.3	500	0.0544	0.0423	0.0121	False
120	439.3	500	0.0996	0.0117	0.0879	False
121	3.1	500	0.0606	0.0600	0.0006	False
122	233.7	500	0.0973	0.0506	0.0467	False
123	80.8	500	0.0630	0.0469	0.0162	False
124	255.1	500	0.1008	0.0498	0.0510	False
125	141.3	500	0.1093	0.0810	0.0283	False
126	-7.1	500	0.0448	0.0462	-0.0014	False
127	-31.1	500	0.0463	0.0525	-0.0062	False
128	-15.0	500	0.0126	0.0156	-0.0030	False
129	80.9	500	0.0689	0.0527	0.0162	False
130	41.1	500	0.0560	0.0478	0.0082	False
131	260.2	500	0.0915	0.0395	0.0520	False
132	201.7	500	0.0964	0.0561	0.0403	False
133	81.9	500	0.0457	0.0293	0.0164	False
134	99.1	500	0.0899	0.0701	0.0198	False
135	-57.3	500	0.0321	0.0436	-0.0115	False
136	23.6	500	0.0600	0.0553	0.0047	False
137	197.7	500	0.0945	0.0549	0.0395	False
138	54.0	500	0.0930	0.0822	0.0108	False
139	102.5	500	0.0697	0.0492	0.0205	False
140	61.0	500	0.0859	0.0737	0.0122	False
141	95.0	500	0.0649	0.0459	0.0190	False
142	17.8	500	0.0394	0.0358	0.0036	False
143	41.0	500	0.0764	0.0682	0.0082	False
144	102.0	500	0.0938	0.0734	0.0204	False
145	246.5	500	0.0869	0.0376	0.0493	False
146	-13.7	500	0.0365	0.0393	-0.0027	False
147	-42.8	500	0.0705	0.0790	-0.0086	False
148	357.4	500	0.0958	0.0244	0.0715	False
149	68.9	500	0.0881	0.0743	0.0138	False
150	116.2	500	0.0566	0.0333	0.0232	False
151	56.7	500	0.0768	0.0654	0.0113	False
152	114.0	500	0.1002	0.0774	0.0228	False
153	254.2	500	0.0947	0.0439	0.0508	False
154	66.5	500	0.0883	0.0750	0.0133	False
155	60.2	500	0.0799	0.0679	0.0120	False
156	152.4	500	0.0677	0.0372	0.0305	False
157	166.4	500	0.1061	0.0728	0.0333	False
158	252.0	500	0.1088	0.0584	0.0504	False
159	103.2	500	0.0519	0.0312	0.0206	False
160	57.0	500	0.0382	0.0268	0.0114	False
161	101.0	500	0.0761	0.0559	0.0202	False
162	41.7	500	0.0818	0.0735	0.0083	False
163	-12.1	500	0.0197	0.0222	-0.0024	False
164	-37.9	500	0.0212	0.0287	-0.0076	False
165	68.6	500	0.0871	0.0734	0.0137	False
